Name,Version,License,URL
kiwisolver,1.5.0,BSD License,https://github.com/nucleic/kiwi
lark,1.3.1,MIT License,https://github.com/lark-parser/lark
lightning,2.6.1,Apache Software License,https://github.com/Lightning-AI/lightning
lightning-utilities,0.15.3,Apache-2.0,https://github.com/Lightning-AI/utilities
llvmlite,0.47.0,BSD-2-Clause AND Apache-2.0 WITH LLVM-exception,http://llvmlite.readthedocs.io
lmdb,2.2.0,OLDAP-2.8,http://github.com/jnwatson/py-lmdb/
locket,1.0.0,BSD License,http://github.com/mwilliamson/locket.py
loguru,0.7.3,MIT License,https://github.com/Delgan/loguru
loro,1.10.3,MIT,https://loro.dev
lz4,4.4.5,BSD License,https://github.com/python-lz4/python-lz4
makefun,1.16.0,BSD License,https://github.com/smarie/python-makefun
marimo,0.22.0,Apache Software License,https://github.com/marimo-team/marimo
markdown-it-py,4.0.0,MIT License,https://github.com/executablebooks/markdown-it-py
matplotlib,3.10.8,Python Software Foundation License,https://matplotlib.org
matplotlib-inline,0.2.1,BSD-3-Clause,https://github.com/ipython/matplotlib-inline
mdurl,0.1.2,MIT License,https://github.com/executablebooks/mdurl
ml_dtypes,0.5.4,Apache-2.0,https://github.com/jax-ml/ml_dtypes
moviepy,2.2.1,MIT License,https://pypi.org/project/moviepy/2.2.1/
mpmath,1.3.0,BSD License,http://mpmath.org/
msgpack,1.1.2,Apache-2.0,https://msgpack.org/
msgspec,0.20.0,BSD-3-Clause,https://jcristharif.com/msgspec/
multi-storage-client,0.45.1,Apache-2.0,https://github.com/NVIDIA/multi-storage-client
multidict,6.7.1,Apache License 2.0,https://github.com/aio-libs/multidict
narwhals,2.18.1,MIT License,https://github.com/narwhals-dev/narwhals
nest-asyncio,1.6.0,BSD License,https://github.com/erdewit/nest_asyncio
netCDF4,1.7.2,MIT License,https://github.com/Unidata/netcdf4-python
networkx,3.6.1,BSD-3-Clause,https://networkx.org/
numba,0.65.0,BSD License,https://numba.pydata.org
numcodecs,0.16.5,MIT,https://github.com/zarr-developers/numcodecs
numpy,2.4.4,BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0,https://numpy.org
nvdlfw_inspect,0.2.2,Apache2,https://github.com/NVIDIA/nvidia-dlfw-inspect
oauthlib,3.3.1,BSD-3-Clause,https://github.com/oauthlib/oauthlib
omegaconf,2.3.0,BSD License,https://github.com/omry/omegaconf
onnx,1.21.0,Apache-2.0,https://onnx.ai/
onnx-ir,0.2.0,Apache-2.0,https://onnx.ai/ir-py
onnxscript,0.6.2,MIT License,https://microsoft.github.io/onnxscript/
opentelemetry-api,1.40.0,Apache-2.0,https://github.com/open-telemetry/opentelemetry-python/tree/main/opentelemetry-api
packaging,25.0,Apache Software License; BSD License,https://github.com/pypa/packaging
pandas,2.3.3,BSD License,https://pandas.pydata.org
parso,0.8.6,MIT License,https://github.com/davidhalter/parso
partd,1.4.2,BSD,http://github.com/dask/partd/
pexpect,4.9.0,ISC License (ISCL),https://pexpect.readthedocs.io/
pillow,11.3.0,MIT-CMU,https://python-pillow.github.io
platformdirs,4.9.4,MIT,https://github.com/tox-dev/platformdirs
plotly,6.6.0,MIT License,https://plotly.com/python/
pluggy,1.6.0,MIT License,https://pypi.org/project/pluggy/1.6.0/
proglog,0.1.12,MIT,https://github.com/Edinburgh-Genome-Foundry/proglog
prompt_toolkit,3.0.52,BSD License,https://github.com/prompt-toolkit/python-prompt-toolkit
propcache,0.4.1,Apache Software License,https://github.com/aio-libs/propcache
proto-plus,1.27.2,Apache Software License,https://github.com/googleapis/google-cloud-python/tree/main/packages/proto-plus
protobuf,6.33.6,3-Clause BSD License,https://developers.google.com/protocol-buffers/
psutil,7.2.2,BSD-3-Clause,https://github.com/giampaolo/psutil
ptyprocess,0.7.0,ISC License (ISCL),https://github.com/pexpect/ptyprocess
pure_eval,0.2.3,MIT License,http://github.com/alexmojaki/pure_eval
pyarrow,23.0.1,Apache-2.0,https://arrow.apache.org/
pyasn1,0.6.3,BSD-2-Clause,https://github.com/pyasn1/pyasn1
pyasn1_modules,0.4.2,BSD License,https://github.com/pyasn1/pyasn1-modules
pycparser,3.0,BSD-3-Clause,https://github.com/eliben/pycparser
pydantic,2.12.5,MIT,https://github.com/pydantic/pydantic
pydantic_core,2.41.5,MIT,https://github.com/pydantic/pydantic-core
pygrib,2.1.8,MIT AND (Apache-2.0 OR BSD-2-Clause),https://github.com/jswhit/pygrib
pymdown-extensions,10.21.2,MIT,https://github.com/facelessuser/pymdown-extensions
pyparsing,3.3.2,MIT,https://github.com/pyparsing/pyparsing/
pyproj,3.7.2,MIT,https://pyproj4.github.io/pyproj/
pyshp,3.0.3,MIT,https://github.com/GeospatialPython/pyshp
pytest,9.0.3,MIT,https://docs.pytest.org/en/latest/
pytest-regtest,2.3.7,MIT,https://gitlab.com/uweschmitt/pytest-regtest
python-dateutil,2.9.0.post0,Apache Software License; BSD License,https://github.com/dateutil/dateutil
python-dotenv,1.2.2,BSD-3-Clause,https://github.com/theskumar/python-dotenv
pytorch-lightning,2.6.1,Apache Software License,https://github.com/Lightning-AI/lightning
pytorch_optimizer,3.10.0,Apache Software License,https://pypi.org/project/pytorch-optimizer/3.10.0/
pytz,2026.1.post1,MIT License,http://pythonhosted.org/pytz
pyzmq,27.1.0,BSD License,https://pyzmq.readthedocs.org
rdkit,2026.3.1,BSD-3-Clause,https://github.com/kuelumbus/rdkit-pypi
referencing,0.37.0,MIT,https://github.com/python-jsonschema/referencing
requests,2.33.1,Apache Software License,https://github.com/psf/requests
requests-oauthlib,2.0.0,BSD License,https://github.com/requests/requests-oauthlib
rich,14.3.3,MIT License,https://github.com/Textualize/rich
rpds-py,0.30.0,MIT,https://github.com/crate-py/rpds
s3fs,2026.3.0,BSD License,http://github.com/fsspec/s3fs/
safetensors,0.7.0,Apache Software License,https://github.com/huggingface/safetensors
scipy,1.17.1,BSD License,https://scipy.org/
screamcast,2025.1.1,Apache Software License,https://pypi.org/project/screamcast/2025.1.1/
screamcast,2025.1.1,Apache Software License,https://pypi.org/project/screamcast/2025.1.1/
seaborn,0.13.2,BSD License,https://github.com/mwaskom/seaborn
sentry-sdk,2.57.0,BSD License,https://github.com/getsentry/sentry-python
shapely,2.1.2,BSD License,https://github.com/shapely/shapely
shellingham,1.5.4,ISC License (ISCL),https://github.com/sarugaku/shellingham
six,1.17.0,MIT License,https://github.com/benjaminp/six
smmap,5.0.3,BSD License,https://github.com/gitpython-developers/smmap
sortedcontainers,2.4.0,Apache Software License,http://www.grantjenks.com/docs/sortedcontainers/
soundfile,0.13.1,BSD License,https://github.com/bastibe/python-soundfile
stack-data,0.6.3,MIT License,http://github.com/alexmojaki/stack_data
starlette,1.0.0,BSD-3-Clause,https://github.com/Kludex/starlette
sympy,1.14.0,BSD License,https://sympy.org
tblib,3.2.2,BSD-2-Clause,https://python-tblib.readthedocs.io/en/latest/changelog.html
tensorboard,2.20.0,Apache Software License,https://github.com/tensorflow/tensorboard
tensorboard-data-server,0.7.2,Apache Software License,https://github.com/tensorflow/tensorboard/tree/master/tensorboard/data/server
tensorly,0.9.0,BSD License,https://github.com/tensorly/tensorly
tensorly-torch,0.5.0,BSD License,https://github.com/tensorly/tensorly-torch
timm,1.0.26,Apache Software License,https://github.com/huggingface/pytorch-image-models
